Chromosome	Physical_Position_Build36(hg18)	Genetic_Map(cM)
chr10	1216006	0.028763931
chr10	1216528	0.028773555
chr10	1216783	0.02878015
chr10	1216944	0.028781298
chr10	1217868	0.028794185
chr10	1218206	0.028798673
chr10	1218296	0.028799276
chr10	1218905	0.028993523
chr10	1219548	0.029166082
chr10	1219621	0.029166227
chr10	1219663	0.029166292
chr10	1219868	0.02927072
chr10	1220968	0.030319313
chr10	1222009	0.030366138
chr10	1222500	0.03037558
chr10	1222664	0.030376354
chr10	1225393	0.030685097
chr10	1228403	0.031132778
chr10	1229549	0.031282777
chr10	1230966	0.031432597
chr10	1234020	0.0330251
chr10	1234414	0.033185216
chr10	1236883	0.038291696
chr10	1236963	0.038301149
chr10	1237022	0.03830115
chr10	1239461	0.03834552
chr10	1240184	0.038360253
chr10	1244141	0.038445642
chr10	1246160	0.03848795
chr10	1246559	0.038496878
chr10	1246632	0.038497348
chr10	1249485	0.038549271
chr10	1253076	0.038613439
chr10	1253384	0.038621052
chr10	1263841	0.038921581
chr10	1264538	0.038943535
chr10	1266186	0.038983382
chr10	1267716	0.03902592
chr10	1269272	0.039068126
chr10	1270409	0.039109692
chr10	1272530	0.039373325
chr10	1272828	0.039403281
chr10	1276740	0.039815199
chr10	1282991	0.040097268
chr10	1283100	0.040098623
chr10	1286968	0.040243677
chr10	1290253	0.040348954
chr10	1296220	0.04053052
chr10	1296745	0.040546447
chr10	1297456	0.040566262
chr10	1300657	0.040642692
chr10	1302422	0.040694483
chr10	1304548	0.040758211
chr10	1306520	0.040888535
chr10	1312617	0.041344469
chr10	1315411	0.041983953
chr10	1317807	0.05053542
chr10	1319985	0.058371964
chr10	1322396	0.068065089
chr10	1322488	0.068071253
chr10	1322599	0.068077651
chr10	1322768	0.068087467
chr10	1322879	0.068097981
chr10	1323590	0.068836768
chr10	1324260	0.069915593
chr10	1324277	0.069917212
chr10	1324563	0.084043697
chr10	1324754	0.101537944
chr10	1325849	0.105881996
chr10	1327709	0.107677729
chr10	1328152	0.107872854
chr10	1328168	0.107873754
chr10	1329022	0.110771079
chr10	1330620	0.113403426
chr10	1331691	0.114649436
chr10	1331958	0.114795072
chr10	1333017	0.115362232
chr10	1333198	0.115375699
chr10	1333726	0.115432498
chr10	1341779	0.119343639
chr10	1342049	0.119504113
chr10	1342152	0.119541412
chr10	1343714	0.121207227
chr10	1350092	0.127578832
chr10	1356888	0.134048
chr10	1357514	0.134202591
chr10	1358024	0.134281535
chr10	1361386	0.134609181
chr10	1361610	0.134629261
chr10	1362501	0.134734638
chr10	1366089	0.135033405
chr10	1366105	0.135034453
chr10	1366968	0.135116576
chr10	1368936	0.13535132
chr10	1370128	0.135460638
chr10	1371224	0.135560436
chr10	1371763	0.135598598
chr10	1372077	0.135624721
chr10	1374633	0.135879897
chr10	1375851	0.136102755
chr10	1377508	0.136487295
chr10	1386155	0.153222609
chr10	1389941	0.205163614
chr10	1391584	0.208763828
chr10	1392884	0.21038554
chr10	1393092	0.210631008
chr10	1393493	0.211275644
chr10	1393965	0.211995536
chr10	1394314	0.21254181
chr10	1394413	0.212630987
chr10	1396364	0.216044233
chr10	1397728	0.217731706
chr10	1397826	0.217819461
chr10	1398581	0.218280348
chr10	1401526	0.219959645
chr10	1402163	0.220064578
chr10	1402238	0.220097529
chr10	1404544	0.220249585
chr10	1405366	0.220298645
chr10	1406754	0.220387131
chr10	1406962	0.220399539
chr10	1408857	0.220467128
chr10	1411326	0.220557339
chr10	1411516	0.220564459
chr10	1412160	0.220580029
chr10	1413905	0.220620715
chr10	1414923	0.220643576
chr10	1416013	0.220668999
chr10	1416485	0.220679404
chr10	1416760	0.220684779
chr10	1417083	0.220692032
chr10	1417548	0.2207041
chr10	1419339	0.220752509
chr10	1420022	0.220774757
chr10	1420761	0.220801437
chr10	1422461	0.221122997
chr10	1426204	0.225270484
chr10	1426858	0.225418127
chr10	1432709	0.22608567
chr10	1433016	0.226093712
chr10	1433161	0.226100456
chr10	1434645	0.226181514
chr10	1437105	0.226324682
chr10	1437951	0.226375626
chr10	1438170	0.226396844
chr10	1439849	0.226541792
chr10	1442786	0.226836805
chr10	1444864	0.231016628
chr10	1445543	0.237269112
chr10	1449379	0.252758336
chr10	1449594	0.253003057
chr10	1451116	0.254593234
chr10	1451984	0.255368885
chr10	1452457	0.255779218
chr10	1453208	0.256930362
chr10	1454892	0.265568361
chr10	1458196	0.266163887
chr10	1458978	0.266399646
chr10	1461765	0.267233328
chr10	1462183	0.267325291
chr10	1465811	0.268142159
chr10	1467677	0.268532412
chr10	1468107	0.268670338
chr10	1468154	0.268672284
chr10	1468171	0.268672991
chr10	1469049	0.268966834
chr10	1469478	0.26914204
chr10	1474759	0.270979727
chr10	1478339	0.272468526
chr10	1478444	0.272487295
chr10	1479374	0.272736224
chr10	1481339	0.273301384
chr10	1481872	0.273436787
chr10	1482512	0.273661694
chr10	1482807	0.273807746
chr10	1483450	0.275508683
chr10	1485331	0.278258199
chr10	1487324	0.27995617
chr10	1493564	0.285585608
chr10	1495197	0.313773087
chr10	1495474	0.331647911
chr10	1495491	0.331648376
chr10	1495573	0.331650466
chr10	1499658	0.334865428
chr10	1500208	0.335044891
chr10	1501786	0.335558193
chr10	1501951	0.33557996
chr10	1502546	0.335717635
chr10	1502856	0.336076474
chr10	1503349	0.33654496
chr10	1504219	0.338578221
chr10	1505126	0.340442318
chr10	1507243	0.350027297
chr10	1508602	0.354923056
chr10	1508682	0.35493997
chr10	1509151	0.356218856
chr10	1509886	0.357650793
chr10	1511858	0.361585452
chr10	1514409	0.447148666
chr10	1514715	0.475289643
chr10	1515186	0.478142667
chr10	1520815	0.525550348
chr10	1520884	0.525550348
chr10	1521776	0.533459765
chr10	1522171	0.554237042
chr10	1524156	0.586041142
chr10	1525202	0.604024779
chr10	1525739	0.60499279
chr10	1531477	0.606749925
chr10	1536669	0.607537584
chr10	1536782	0.607554674
chr10	1539881	0.60798544
chr10	1543772	0.608675098
chr10	1548145	0.60958611
chr10	1549855	0.6099548
chr10	1550338	0.610052586
chr10	1550898	0.610137627
chr10	1552364	0.610361491
chr10	1553135	0.610595824
chr10	1554771	0.61085381
chr10	1556613	0.611062522
chr10	1556851	0.611089325
chr10	1557138	0.611133225
chr10	1557300	0.611160692
chr10	1559586	0.625902142
chr10	1560086	0.626446398
chr10	1562250	0.626830968
chr10	1563320	0.62702683
chr10	1566292	0.627324997
chr10	1566738	0.627375696
chr10	1567950	0.627529186
chr10	1568691	0.627625611
chr10	1571728	0.627984253
chr10	1571875	0.628001696
chr10	1572085	0.628022669
chr10	1576644	0.629213298
chr10	1578114	0.62986345
chr10	1578468	0.629997527
chr10	1578730	0.630107761
chr10	1578977	0.630172562
chr10	1579508	0.630276305
chr10	1580256	0.630383811
chr10	1580440	0.630412705
chr10	1580985	0.630519426
chr10	1581800	0.63066904
chr10	1581836	0.630669687
chr10	1585155	0.63490463
chr10	1585373	0.635761675
chr10	1585481	0.635770616
chr10	1590254	0.639291185
chr10	1590335	0.639292634
chr10	1591316	0.639911608
chr10	1591335	0.639922554
chr10	1591900	0.640264583
chr10	1591990	0.640266692
chr10	1592635	0.640529055
chr10	1595715	0.641428158
chr10	1595741	0.6414365
chr10	1597140	0.642000714
chr10	1597329	0.642303125
chr10	1600839	0.664634693
chr10	1601107	0.688703787
chr10	1601165	0.688720058
chr10	1602272	0.692518811
chr10	1602405	0.692930293
chr10	1602555	0.693057017
chr10	1602952	0.69363315
chr10	1603026	0.693635456
chr10	1606438	0.696094183
chr10	1607026	0.696299197
chr10	1608717	0.696827204
chr10	1608731	0.696828863
chr10	1610356	0.697661034
chr10	1610625	0.697956396
chr10	1611219	0.747785622
chr10	1611412	0.749008463
chr10	1611800	0.750063121
chr10	1611911	0.75019922
chr10	1612189	0.750943554
chr10	1612644	0.751303439
chr10	1613348	0.751794667
chr10	1613406	0.751956609
chr10	1613734	0.753318191
chr10	1614284	0.756089006
chr10	1614900	0.765708476
chr10	1615294	0.769234443
chr10	1617333	0.76998754
chr10	1618905	0.770586273
chr10	1619391	0.7710005
chr10	1620612	0.77207969
chr10	1620821	0.772239283
chr10	1624430	0.77347776
chr10	1627345	0.775058759
chr10	1628527	0.775634475
chr10	1629362	0.776003521
chr10	1629427	0.776005103
chr10	1631948	0.776748095
chr10	1632428	0.776911011
chr10	1632998	0.777212698
chr10	1633368	0.77752472
chr10	1634363	0.777974123
chr10	1636899	0.780045475
chr10	1636959	0.780053779
chr10	1637114	0.780075218
chr10	1637353	0.782841085
chr10	1639762	0.815933434
chr10	1640460	0.820495468
chr10	1643960	0.835975035
chr10	1644912	0.836561676
chr10	1645755	0.836820948
chr10	1645849	0.836827649
chr10	1647184	0.837420693
chr10	1651398	0.838289021
chr10	1652840	0.838495035
chr10	1654242	0.838614332
chr10	1655029	0.838699446
chr10	1655211	0.838718888
chr10	1655466	0.838760299
chr10	1655794	0.838806725
chr10	1655821	0.838810141
chr10	1656497	0.839028334
chr10	1657365	0.839340682
chr10	1659110	0.840480281
chr10	1659347	0.841170484
chr10	1659412	0.841489542
chr10	1660434	0.854457195
chr10	1660999	0.88861047
chr10	1662408	0.922678827
chr10	1664132	0.92457909
chr10	1664607	0.925216402
chr10	1665548	0.934728398
chr10	1666417	0.935016246
chr10	1666531	0.935040854
chr10	1667579	0.935297039
chr10	1669189	0.935625039
chr10	1669809	0.935670857
chr10	1670786	0.935741345
chr10	1671656	0.935785435
chr10	1673641	0.935902157
chr10	1673795	0.935910535
chr10	1674797	0.935978225
chr10	1675050	0.935995015
chr10	1675180	0.936001847
chr10	1675508	0.936027833
chr10	1675758	0.936084376
chr10	1676615	0.936293206
chr10	1677171	0.936420229
chr10	1677799	0.937042037
chr10	1678497	0.937099521
chr10	1678805	0.93712511
chr10	1678904	0.937131656
chr10	1680184	0.937223186
chr10	1680721	0.937261233
chr10	1681116	0.937293334
chr10	1682663	0.937411115
chr10	1682796	0.937411874
chr10	1683445	0.943758764
chr10	1683901	0.943913398
chr10	1684750	0.944229975
chr10	1685331	0.944530931
chr10	1686510	0.945222967
chr10	1686936	0.945527719
chr10	1687676	0.946441869
chr10	1688010	0.946707643
chr10	1690702	0.948340889
chr10	1691872	0.949029086
chr10	1692954	0.949605581
chr10	1693542	0.949925455
chr10	1695247	0.950436942
chr10	1695466	0.950458835
chr10	1695508	0.950462026
chr10	1696151	0.950528539
chr10	1696725	0.950600177
chr10	1699803	0.951263103
chr10	1700729	0.951452038
chr10	1702209	0.952015531
chr10	1703043	0.953310038
chr10	1704379	0.955588715
chr10	1705867	0.962203622
chr10	1706614	0.994703469
chr10	1708040	0.996589283
chr10	1709372	0.997647284
chr10	1710319	0.998308895
chr10	1710840	0.998668745
chr10	1712488	0.999858063
chr10	1713565	1.000703743
chr10	1714276	1.001396948
chr10	1717152	1.004576761
chr10	1718840	1.007050676
chr10	1719026	1.007286238
chr10	1724473	1.042082924
chr10	1725559	1.046520611
chr10	1725619	1.050172539
chr10	1726049	1.136724509
chr10	1726305	1.137477678
chr10	1726632	1.137769512
chr10	1726783	1.137776094
chr10	1727244	1.138232419
chr10	1728862	1.139268493
chr10	1729576	1.139727579
chr10	1729611	1.13972917
chr10	1729627	1.139729912
chr10	1730199	1.140106393
chr10	1730278	1.140140608
chr10	1734971	1.143446931
chr10	1735254	1.143700654
chr10	1735694	1.146534418
chr10	1736219	1.155005104
chr10	1737749	1.339697712
chr10	1740075	1.371592451
chr10	1741710	1.377162451
chr10	1741842	1.377308345
chr10	1743115	1.378839972
chr10	1743194	1.378853054
chr10	1743561	1.379106801
chr10	1744055	1.379433814
chr10	1744189	1.37948751
chr10	1745177	1.380198143
chr10	1746420	1.381777824
chr10	1746440	1.381803642
chr10	1746642	1.38213585
chr10	1747007	1.382684725
chr10	1748621	1.384856367
chr10	1748815	1.38496077
chr10	1748915	1.384998672
chr10	1749201	1.38514041
chr10	1754966	1.390526564
chr10	1755792	1.392986762
chr10	1761798	1.409643864
chr10	1764564	1.412975555
chr10	1765708	1.413570518
chr10	1769498	1.41776403
chr10	1770331	1.418947294
chr10	1774653	1.424455024
chr10	1775731	1.425741491
chr10	1779659	1.429479537
chr10	1781836	1.431474818
chr10	1785194	1.432494699
chr10	1789598	1.435619888
chr10	1793525	1.436833742
chr10	1794579	1.437230686
chr10	1795990	1.437764555
chr10	1806298	1.444285963
chr10	1810854	1.447363418
chr10	1811202	1.447646447
chr10	1811897	1.448239455
chr10	1814338	1.460043697
chr10	1819825	1.48508434
chr10	1820144	1.485510893
chr10	1820815	1.486257911
chr10	1820848	1.486273922
chr10	1820917	1.486287656
chr10	1821369	1.48643086
chr10	1821674	1.486514364
chr10	1821994	1.486611635
chr10	1828096	1.487581435
chr10	1828343	1.487627187
chr10	1830995	1.488258672
chr10	1831344	1.488324827
chr10	1832975	1.488531398
chr10	1834321	1.488699088
chr10	1835059	1.488791188
chr10	1836654	1.489288728
chr10	1837006	1.489363846
chr10	1838263	1.489717497
chr10	1844773	1.4915687
chr10	1847187	1.49224646
chr10	1850998	1.493279214
chr10	1853068	1.494000743
chr10	1853551	1.494183686
chr10	1853720	1.494189157
chr10	1856108	1.495850816
chr10	1860359	1.535151461
chr10	1862726	1.548406443
chr10	1864354	1.549713514
chr10	1865945	1.563865548
chr10	1875349	1.603017873
chr10	1880245	1.618430688
chr10	1881174	1.620873464
chr10	1883149	1.622000246
chr10	1885851	1.624060214
chr10	1886555	1.624358811
chr10	1887722	1.62474412
chr10	1888716	1.625063059
chr10	1889620	1.62522016
chr10	1891079	1.625816731
chr10	1891587	1.626051279
chr10	1892486	1.626233864
chr10	1897280	1.627078569
chr10	1901598	1.627821082
chr10	1902006	1.627866035
chr10	1902338	1.627914021
chr10	1903123	1.66167153
chr10	1903345	1.661840583
chr10	1903841	1.662591743
chr10	1905587	1.663161312
chr10	1908480	1.664076481
chr10	1911146	1.664807772
chr10	1911530	1.664875803
chr10	1912296	1.665070944
chr10	1913115	1.665760038
chr10	1913202	1.665779693
chr10	1913396	1.665844774
chr10	1913557	1.665881944
chr10	1913685	1.665895999
chr10	1913792	1.665907772
chr10	1913821	1.665911927
chr10	1914785	1.666095271
chr10	1915702	1.666299322
chr10	1915816	1.666300733
chr10	1916697	1.666501672
chr10	1916738	1.666503449
chr10	1918380	1.666916362
chr10	1921476	1.667688522
chr10	1922182	1.667881455
chr10	1924068	1.669516579
chr10	1924824	1.670112971
chr10	1925387	1.670974809
chr10	1925529	1.671105135
chr10	1925660	1.671224985
chr10	1926350	1.67193348
chr10	1932800	1.724384489
chr10	1934907	1.729067862
chr10	1935296	1.729482789
chr10	1935387	1.729622036
chr10	1937393	1.730383084
chr10	1938064	1.730639931
chr10	1938864	1.730923607
chr10	1941723	1.732062624
